"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP-8_W7.62mm";1;"NE555P";;;
2;"Micro_USB1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
3;"D3,D2,D1";"D_A-405_P7.62mm_Horizontal";3;"1N5817";;;
4;"R4,R3,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"1K";;;
5;"Q3,Q4,Q5";"TO-92L_Inline_Wide";3;"Q_NPN_EBC";;;
6;"C2";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"0.01u";;;
7;"SPDT_Switch1";"TerminalBlock_Altech_AK300-3_P5.00mm";1;"Screw_Terminal_01x03";;;
8;"Q1";"TO-92L_Inline_Wide";1;"2N2222A";;;
9;"XL4001E1_Module1,Ni-Cd_Cells1";"TerminalBlock_Altech_AK300-2_P5.00mm";2;"Screw_Terminal_01x02";;;
10;"C3";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"1n";;;
11;"RV1";"Potentiometer_Piher_PT-10-V05_Vertical";1;"10K";;;
12;"L1";"L_Axial_L5.0mm_D3.6mm_P10.00mm_Horizontal_Murata_BL01RN1A2A2";1;"100u";;;
13;"C4,C1";"CP_Radial_D5.0mm_P2.50mm";2;"100u";;;
14;"D4";"D_A-405_P7.62mm_Horizontal";1;"1N4001";;;
15;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"0";;;
16;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10";;;
17;"J1";"PinSocket_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
18;"R_sense1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1";;;
19;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470";;;
20;"Q2";"TO-126-3_Vertical";1;"IRF840";;;
